operator,family,phs_order,poly_deg,eps,N,nrmse,build_time_s,apply_time_s,build_bytes
interpolation,PHS,7,3,0.0,4900,2.1398784961492575e-8,0.343741592,0.003597566,415800320
interpolation,PHS,7,5,0.0,225,0.00024647763607321693,0.000601911,0.00026207,1815080
interpolation,PHS,7,5,0.0,900,4.176995815243039e-6,0.006715793,0.000748712,16599360
interpolation,PHS,7,5,0.0,2025,3.229164425700639e-7,0.046737614,0.001558833,75220144
interpolation,PHS,7,5,0.0,4900,1.627018384381469e-8,0.405245073,0.003567857,416366528
interpolation,PHS,7,6,0.0,225,0.00027180220209340735,0.000588281,0.000305451,1901264
interpolation,PHS,7,6,0.0,900,4.1288946937535625e-6,0.010172589,0.000785042,17183624
interpolation,PHS,7,6,0.0,2025,2.783348345837798e-7,0.057101753,0.001605772,77250184
interpolation,PHS,7,6,0.0,4900,1.8126221502012913e-8,0.326457831,0.003593157,420544832
interpolation,PHS,3,1,0.0,225,0.0008813588208132567,0.00035559,0.00016296,1016744
interpolation,PHS,3,1,0.0,900,9.839869974866997e-5,0.006889432,0.000674671,13539656
interpolation,PHS,3,1,0.0,2025,1.5231297300263894e-5,0.04948754,0.001503542,69100336
interpolation,PHS,3,1,0.0,4900,3.1808218136160974e-6,0.35901349,0.003790227,409193528
interpolation,PHS,3,3,0.0,225,0.0009526430847283743,0.000358001,0.00021168,1298112
interpolation,PHS,3,3,0.0,900,0.00010754122063644665,0.005957471,0.000697531,14674008
interpolation,PHS,3,3,0.0,2025,1.5053542709186649e-5,0.050045821,0.001490843,71186792
interpolation,PHS,3,3,0.0,4900,3.0502084646344872e-6,0.350814105,0.003488776,407103840
interpolation,PHS,3,4,0.0,225,0.001227654422834916,0.00033655,0.00028454,1507584
interpolation,PHS,3,4,0.0,900,0.00012468057013995736,0.006118301,0.000715421,15344376
interpolation,PHS,3,4,0.0,2025,1.9298058772591046e-5,0.046470024,0.001494823,73059184
interpolation,PHS,3,4,0.0,4900,3.602182190248343e-6,0.359429401,0.003544617,416287920
interpolation,IMQ,0,0,1.0,225,0.013091944838177745,0.00030556,0.00024386,1016504
interpolation,IMQ,0,0,1.0,900,0.023706223961877635,0.006154981,0.001012022,13480920
interpolation,IMQ,0,0,1.0,2025,0.02852774738174571,0.048258807,0.002251214,69666264
interpolation,IMQ,0,0,1.0,4900,0.02687770637295768,0.373797036,0.00544716,411790640
interpolation,Gaussian,0,0,1.0,225,3.392235510485074,0.00031323,0.00044396,1041424
interpolation,Gaussian,0,0,1.0,900,0.9092892241370887,0.006685802,0.001789503,13480040
interpolation,Gaussian,0,0,1.0,2025,1.4515064093169805,0.044927871,0.004003767,69667240
interpolation,Gaussian,0,0,1.0,4900,11.554624058138183,0.346878128,0.009874357,407578696
interpolation,IMQ,0,1,1.0,225,0.017633697338908856,0.00029791,0.00024739,1033608
interpolation,IMQ,0,1,1.0,900,0.13442708955318539,0.006428812,0.000983252,13539704
interpolation,IMQ,0,1,1.0,2025,0.07618346451944752,0.046267224,0.002241984,69123728
interpolation,IMQ,0,1,1.0,4900,0.20456454106094316,0.339267064,0.00547254,404847768
interpolation,Gaussian,0,1,1.0,225,0.8797186743884979,0.00031489,0.000506231,1057392
interpolation,Gaussian,0,1,1.0,900,1.0482639956481692,0.009634817,0.001779603,13539704
interpolation,Gaussian,0,1,1.0,2025,43.533997034407555,0.045516293,0.003978037,69651928
interpolation,Gaussian,0,1,1.0,4900,9.457974778341757,0.340207166,0.009674798,405699280
interpolation,IMQ,0,2,1.0,225,0.04001612245534872,0.00034392,0.00025616,1101624
interpolation,IMQ,0,2,1.0,900,0.22007773265923236,0.006029251,0.001008741,13628280
interpolation,IMQ,0,2,1.0,2025,0.05453882865220106,0.054389548,0.002192354,69092360
interpolation,IMQ,0,2,1.0,4900,0.8653095540133007,0.340211497,0.005272849,412106008
interpolation,Gaussian,0,2,1.0,225,0.20493258421126903,0.000480991,0.000449511,1076240
interpolation,Gaussian,0,2,1.0,900,1.3770358346577558,0.007976185,0.001758793,13986496
interpolation,Gaussian,0,2,1.0,2025,6.664066045939154,0.049045149,0.003982798,68858616
interpolation,Gaussian,0,2,1.0,4900,2.640241103924654,0.33735538,0.009573817,405291680
interpolation,IMQ,0,3,1.0,225,0.00895027999323031,0.000382231,0.000304631,1412648
interpolation,IMQ,0,3,1.0,900,0.02769085158704018,0.006112911,0.001020882,14998264
interpolation,IMQ,0,3,1.0,2025,0.07955571789885972,0.057415634,0.002235984,71920040
interpolation,IMQ,0,3,1.0,4900,0.033911732273011135,0.35914518,0.005359909,410481376
interpolation,Gaussian,0,3,1.0,225,0.2324099236186557,0.000384321,0.000503071,1252632
interpolation,Gaussian,0,3,1.0,900,0.5725312506559213,0.006707912,0.001818003,14674040
interpolation,Gaussian,0,3,1.0,2025,1.6018994485955242,0.046045503,0.004086748,71897680
interpolation,Gaussian,0,3,1.0,4900,7.592922351251167,0.330027217,0.009752298,413143624
interpolation,IMQ,0,4,1.0,225,0.02414528939954734,0.000365241,0.000321121,1457248
interpolation,IMQ,0,4,1.0,900,0.018286848704573942,0.006906753,0.001049082,15344408
interpolation,IMQ,0,4,1.0,2025,0.4533979110592677,0.046348854,0.002291844,73137056
interpolation,IMQ,0,4,1.0,4900,0.39869389958498536,0.346437498,0.005367059,408887360
interpolation,Gaussian,0,4,1.0,225,0.6688320030167013,0.00038578,0.000525151,1570376
interpolation,Gaussian,0,4,1.0,900,2.367170536536848,0.006250041,0.001830083,15344536
interpolation,Gaussian,0,4,1.0,2025,1.8805522445455758,0.050612772,0.004058928,72750216
interpolation,Gaussian,0,4,1.0,4900,3.8639151295116188,0.346472967,0.009751748,411294984
